sheet,cell,media_name,stack_bb,hero_pos,villain_pos,spot,suggested_filename,positions_found,spot_hints,near_up,near_left,near_corner
Main,H45,image183.png,20bb,CO,UTG,rfi,20bb_co_vs_utg_Main_H45.png,CO;BTN;SB;BB;UTG;HJ,,,,
Main,I45,image183.png,20bb,CO,UTG,rfi,20bb_co_vs_utg_Main_I45.png,CO;BB;UTG;HJ,,,,
Main,H50,image184.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H50.png,UTG;CO;BTN;SB;BB;HJ,,,,
Main,I50,image185.png,20bb,UTG,UTG,jam,20bb_utg_vs_utg_Main_I50.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,H51,image186.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H51.png,UTG;CO;BTN;SB;BB,,,,
Main,I51,image187.png,20bb,UTG,UTG,jam,20bb_utg_vs_utg_Main_I51.png,UTG;CO;BTN;SB;BB,,,,
Main,H52,image188.png,20bb,CO,UTG,rfi,20bb_co_vs_utg_Main_H52.png,CO;BTN;SB;BB;UTG,,,,
Main,I52,image189.png,20bb,BTN,UTG,rfi,20bb_btn_vs_utg_Main_I52.png,BTN;SB;BB;UTG,,,,
Main,H53,image190.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_H53.png,HJ;CO;BTN;SB;BB;UTG,,,,
Main,I53,image191.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_I53.png,HJ;SB;BB;BTN;UTG,,,,
Main,H54,image192.png,20bb,CO,UTG,rfi,20bb_co_vs_utg_Main_H54.png,CO;BTN;SB;BB;UTG;HJ,,,,
Main,I54,image193.png,20bb,CO,UTG,rfi,20bb_co_vs_utg_Main_I54.png,CO;BB;BTN;UTG;HJ,,,,
Main,H55,image194.png,20bb,BTN,UTG,rfi,20bb_btn_vs_utg_Main_H55.png,BTN;SB;BB;UTG;HJ;CO,,,,
Main,I55,image194.png,20bb,BTN,UTG,rfi,20bb_btn_vs_utg_Main_I55.png,BTN;UTG;HJ;CO,,,,
Main,H61,image195.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H61.png,UTG;BTN;SB;BB,,,,
Main,I61,image196.png,20bb,UTG,UTG,jam,20bb_utg_vs_utg_Main_I61.png,UTG;BTN;SB;BB,,,,
Main,H62,image197.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_H62.png,UTG;BTN;SB;BB,,,,
Main,I62,image198.png,20bb,UTG,UTG,rfi,20bb_utg_vs_utg_Main_I62.png,UTG;SB;BB,,,,
Main,H63,image199.png,20bb,BTN,UTG,rfi,20bb_btn_vs_utg_Main_H63.png,BTN;SB;BB;UTG,,,,
Main,I63,image200.png,20bb,SB,UTG,rfi,20bb_sb_vs_utg_Main_I63.png,SB;BB;UTG,,,,
Main,H64,image201.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_H64.png,HJ;SB;BB;UTG,,,,
Main,I64,image202.png,20bb,HJ,UTG,rfi,20bb_hj_vs_utg_Main_I64.png,HJ;BB;SB;UTG,,,,
Main,H65,image203.png,20bb,CO,UTG,rfi,20bb_co_vs_utg_Main_H65.png,CO;SB;BB;UTG;HJ,,,,
Main,I65,image204.png,20bb,CO,UTG,rfi,20bb_co_vs_utg_Main_I65.png,CO;BB;SB;UTG;HJ,,,,
Main,H66,image205.png,20bb,BTN,UTG,jam,20bb_btn_vs_utg_Main_H66.png,BTN;BB;SB;UTG;HJ;CO,,,,
Main,I66,image206.png,20bb,BTN,UTG,jam,20bb_btn_vs_utg_Main_I66.png,BTN;SB;UTG;HJ;CO,,,,
Main,H67,image207.png,20bb,BTN,UTG,jam,20bb_btn_vs_utg_Main_H67.png,BTN;BB;UTG;HJ;CO,,,,
Main,I67,image207.png,20bb,BTN,UTG,jam,20bb_btn_vs_utg_Main_I67.png,BTN;UTG;HJ;CO,,,,
Main,H68,image208.png,20bb,SB,UTG,rfi,20bb_sb_vs_utg_Main_H68.png,SB;BTN;UTG;HJ;CO,,,,
Main,I68,image208.png,20bb,SB,UTG,rfi,20bb_sb_vs_utg_Main_I68.png,SB;UTG;HJ;CO;BTN,,,,
Main,B61,image209.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B61.png,UTG;BTN;SB;BB,,,,
Main,C61,image210.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C61.png,UTG;BTN;SB;BB,,,,
Main,B62,image211.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B62.png,UTG;BTN;SB;BB,,,,
Main,C62,image212.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C62.png,UTG;SB;BB,,,,
Main,B63,image213.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_B63.png,BTN;SB;BB;UTG,,,,
Main,C63,image214.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_C63.png,SB;BB;UTG,,,,
Main,C64,image215.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_C64.png,HJ;BB;SB;UTG,,,,
Main,B64,image216.png,15bb,HJ,UTG,jam,15bb_hj_vs_utg_Main_B64.png,HJ;SB;BB;UTG,,,,
Main,B65,image217.png,15bb,CO,UTG,jam,15bb_co_vs_utg_Main_B65.png,CO;SB;BB;UTG;HJ,,,,
Main,C65,image218.png,15bb,CO,UTG,rfi,15bb_co_vs_utg_Main_C65.png,CO;BB;SB;UTG;HJ,,,,
Main,B66,image219.png,15bb,BTN,UTG,jam,15bb_btn_vs_utg_Main_B66.png,BTN;BB;SB;UTG;HJ;CO,,,,
Main,C66,image220.png,15bb,BTN,UTG,jam,15bb_btn_vs_utg_Main_C66.png,BTN;SB;UTG;HJ;CO,,,,
Main,B67,image221.png,15bb,BTN,UTG,jam,15bb_btn_vs_utg_Main_B67.png,BTN;BB;UTG;HJ;CO,,,,
Main,C67,image221.png,15bb,BTN,UTG,jam,15bb_btn_vs_utg_Main_C67.png,BTN;UTG;HJ;CO,,,,
Main,B69,image222.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_B69.png,BB;BTN;SB;HJ;CO,,,,
Main,C69,image222.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_C69.png,BB;HJ;CO;BTN;SB,,,,
Main,B70,image223.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_B70.png,BB;BTN;SB;HJ;CO,,,,
Main,C70,image223.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_C70.png,BB;HJ;CO;BTN;SB,,,,
Main,B73,image224.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B73.png,UTG;BTN;SB;BB,,,,
Main,C73,image225.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C73.png,UTG;BTN;SB;BB,,,,
Main,B74,image226.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B74.png,UTG;BTN;SB;BB,,,,
Main,C74,image227.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C74.png,UTG;SB;BB,,,,
Main,B75,image228.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_B75.png,BTN;SB;BB;UTG,,,,
